frame,t_sec,track_id,type,severity,detail,image_x,image_y,speed_kmh
4,0.13346666666666668,3,distancia_corta,0.03243087162195806,Gap 0.68s (11.6m) detrás de #14,1233.718017578125,858.5225830078125,61.48025564874721
6,0.20020000000000002,3,exceso_velocidad,0.30436932432751235,65.2 km/h en zona de 50,1303.068359375,883.7554321289062,65.21846621637562
27,0.9009,11,conduccion_erratica,1.0,std/disp=3.79,463.27899169921875,579.4891357421875,3.294981069559177
67,2.2355666666666667,26,distancia_corta,0.5216853449704917,Gap 0.33s (3.1m) detrás de #19,1744.972412109375,654.9808959960938,33.65971921356232
70,2.3356666666666666,2,exceso_velocidad,0.355101527255168,67.8 km/h en zona de 50,1460.302490234375,943.1738891601562,67.7550763627584
70,2.3356666666666666,2,frenada_brusca,0.8116506078709793,-32.5 km/h/s,1460.302490234375,943.1738891601562,59.420551642604316
82,2.736066666666667,34,exceso_velocidad,0.7295362513239965,86.5 km/h en zona de 50,1620.3182373046875,821.2286376953125,86.47681256619983
82,2.736066666666667,34,distancia_corta,0.5455158845738773,Gap 0.32s (7.6m) detrás de #32,1620.3182373046875,821.2286376953125,86.47681256619983
88,2.9362666666666666,31,conduccion_erratica,1.0,std/disp=2.02,1005.3038330078125,657.6072998046875,4.580713070449321
93,3.1031,34,frenada_brusca,0.7751312213925795,-31.0 km/h/s,1431.43701171875,777.4194946289062,12.900426527711678
109,3.636966666666667,27,conduccion_erratica,1.0,std/disp=1.10,412.0575256347656,597.4605102539062,0.10802880279670608
117,3.9039,30,conduccion_erratica,1.0,std/disp=1.80,377.89630126953125,614.3494873046875,0.06156599318242019
139,4.637966666666666,41,distancia_corta,0.44664476732756214,Gap 0.39s (3.8m) detrás de #6,1483.169921875,781.8920288085938,34.8750135312976
144,4.8048,40,conduccion_erratica,1.0,std/disp=1.03,352.86578369140625,606.8715209960938,0.030444229878654642
148,4.938266666666666,41,frenada_brusca,0.8249470429676616,-33.0 km/h/s,1414.1705322265625,675.215576171875,50.65843742307688
151,5.038366666666667,6,exceso_velocidad,0.3409239551626797,67.0 km/h en zona de 50,1425.3076171875,962.0381469726562,67.04619775813399
153,5.1051,6,frenada_brusca,0.8379365954911815,-33.5 km/h/s,1479.330322265625,1009.48095703125,67.75013186182599
158,5.271933333333333,49,distancia_corta,0.41079337137209987,Gap 0.41s (3.4m) detrás de #47,1176.163818359375,715.7896728515625,30.05140137978463
216,7.2072,53,conduccion_erratica,1.0,std/disp=1.26,353.49383544921875,606.438720703125,0.1695446172637996
246,8.2082,17,exceso_velocidad,0.34290705061468996,67.1 km/h en zona de 50,1522.284423828125,959.02734375,67.1453525307345
